Part_Number,Springs
90151339,848
620492,693
620492,1137
620492,1222
620492,1220
622050,1828
90261428,1275
90261428,1232
90261428,1205
90261428,1295
90261428,1302
90261428,874
90261428,949
90280568,1316
90280568,1055
90281111,1407
90281111,1396
90281675,792
90281675,798
90281675,796
90281675,791
90281675,792
90281686,952
90285752,1799
90285752,956
90291146,1116
90291146,860
90291146,644
90291147,874
90291147,645
90291147,567
90291147,875
90291147,525
90291147,579
90291147,575
90291147,581
90291147,570
90291147,580
90291147,585
91908219,825
91908219,836
91908219,813
91910515,967
91910515,1171
91910515,975
91910515,970
91910515,805
91910515,973
91910515,963
90151339,714
